"term","platform","pe","lwr","upr"
"coronacrisis","Twitter",36.5833333333333,19.761119327683,53.4055473389837
"coronacrisis","Facebook",84.875,62.6195679536167,107.130432046383
"geld","Twitter",40.375,24.472263173127,56.277736826873
"geld","Facebook",104,71.2750042210871,136.724995778913
"jongeren","Twitter",45.9375,26.3284839491556,65.5465160508444
"jongeren","Facebook",107.909090909091,25.6875261060232,190.130655712159
"nieuwe","Twitter",46.8181818181818,30.9468748151717,62.689488821192
"nieuwe","Facebook",78.4736842105263,55.1122785578959,101.835089863157
"klimaatcrisis","Twitter",48.7142857142857,32.76288753298,64.6656838955915
"klimaatcrisis","Facebook",82.0769230769231,49.6513655541447,114.502480599701
"samenleving","Twitter",56.3529411764706,16.9699204068536,95.7359619460876
"samenleving","Facebook",93.304347826087,63.1540954535303,123.454600198644
"zorg","Twitter",57.15,40.9792460828143,73.3207539171857
"zorg","Facebook",116.931034482759,87.7321072049667,146.129961760551
"tijd","Twitter",58.6,42.908076665076,74.291923334924
"tijd","Facebook",83.2424242424242,61.7624131744113,104.722435310437
"samen","Twitter",58.9230769230769,39.7863039357904,78.0598499103635
"samen","Facebook",97.0588235294118,70.7225168979539,123.39513016087
"nederland","Twitter",64.7555555555556,49.7357832927887,79.7753278183224
"nederland","Facebook",121.459459459459,48.7202134357195,194.198705483199
"waar","Twitter",65.4561403508772,36.9376170388868,93.9746636628676
"waar","Facebook",124.317073170732,61.9888725067573,186.645273834706
"nodig","Twitter",66.2142857142857,48.5611357099058,83.8674357186657
"nodig","Facebook",93.9523809523809,67.0460028110645,120.858759093697
"mensen","Twitter",67.66,50.5971134228895,84.7228865771105
"mensen","Facebook",151.210526315789,77.2408256971523,225.180226934427
"bedrijven","Twitter",67.7333333333333,21.8909304045279,113.575736262139
"bedrijven","Facebook",91.1428571428571,61.4419583801207,120.843755905594
"grote","Twitter",68.1428571428571,41.6393971894641,94.6463170962502
"grote","Facebook",102.809523809524,70.2713534280103,135.347694191037
"kabinet","Twitter",68.5833333333333,51.7519223810404,85.4147442856263
"kabinet","Facebook",105.318181818182,71.252988607889,139.383375028475
"politiek","Twitter",70.4375,47.1536137558859,93.7213862441141
"politiek","Facebook",102.8,74.943529586067,130.656470413933
"echt","Twitter",74.95,55.0576634672827,94.8423365327173
"echt","Facebook",122.628571428571,76.8238726153422,168.433270241801
"jaar","Twitter",75.3,43.1821922398924,107.417807760108
"jaar","Facebook",111.736842105263,72.6079787659961,150.86570544453
"kinderen","Twitter",103.7,32.912149838112,174.487850161888
"kinderen","Facebook",219.846153846154,21.2155428331889,418.476764859119
