B3_12,name,value,means
Negative Evaluation of Rutte,Work from home,7.161764705882353,7.32163318002098
Negative Evaluation of Rutte,Washing hands,7.705882352941177,7.32163318002098
Negative Evaluation of Rutte,Social distancing,7.323529411764706,7.32163318002098
Negative Evaluation of Rutte,Wearing Mask,6.705882352941177,7.32163318002098
Negative Evaluation of Rutte,Testing if symptomatic,7.25,7.32163318002098
Negative Evaluation of Rutte,Staying home after testing yourself or anyone in household,8.176470588235293,7.32163318002098
Negative Evaluation of Rutte,Quarantaine after traveling,7.294117647058823,7.32163318002098
Negative Evaluation of Rutte,Curfew,3.8676470588235294,7.32163318002098
Negative Evaluation of Rutte,"Shops, bars, and restaurants open",3.411764705882353,7.32163318002098
Neutral Evaluation of Rutte,Work from home,7.679012345679013,7.32163318002098
Neutral Evaluation of Rutte,Washing hands,7.895061728395062,7.32163318002098
Neutral Evaluation of Rutte,Social distancing,8.012345679012345,7.32163318002098
Neutral Evaluation of Rutte,Wearing Mask,7.808641975308642,7.32163318002098
Neutral Evaluation of Rutte,Testing if symptomatic,8.104938271604938,7.32163318002098
Neutral Evaluation of Rutte,Staying home after testing yourself or anyone in household,8.697530864197532,7.32163318002098
Neutral Evaluation of Rutte,Quarantaine after traveling,8.030864197530864,7.32163318002098
Neutral Evaluation of Rutte,Curfew,5.8765432098765435,7.32163318002098
Neutral Evaluation of Rutte,"Shops, bars, and restaurants open",4.691358024691358,7.32163318002098
Positive Evaluation of Rutte,Work from home,8.074074074074074,7.32163318002098
Positive Evaluation of Rutte,Washing hands,8.351851851851851,7.32163318002098
Positive Evaluation of Rutte,Social distancing,8.583333333333334,7.32163318002098
Positive Evaluation of Rutte,Wearing Mask,8.231481481481481,7.32163318002098
Positive Evaluation of Rutte,Testing if symptomatic,8.62962962962963,7.32163318002098
Positive Evaluation of Rutte,Staying home after testing yourself or anyone in household,8.88888888888889,7.32163318002098
Positive Evaluation of Rutte,Quarantaine after traveling,8.38888888888889,7.32163318002098
Positive Evaluation of Rutte,Curfew,7.231481481481482,7.32163318002098
Positive Evaluation of Rutte,"Shops, bars, and restaurants open",5.611111111111111,7.32163318002098
