name,Not,PVV,FvD,Other,SGP,SP,Denk,Undecided,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
Banks,2.8055555555555554,4.127906976744186,4.2,4.6521739130434785,4.757575757575758,4.08641975308642,4.733333333333333,4.646680942184155,4.350877192982456,4.966666666666667,4.448818897637795,4.491071428571429,4.857142857142857,5.48695652173913,5.054054054054054,5.352760736196319,4.65587044534413
Big corporations,3.4444444444444446,4.186046511627907,4.1,4.782608695652174,3.909090909090909,3.8950617283950617,4.866666666666666,4.4860813704496785,4.12280701754386,4.933333333333334,4.228346456692913,4.116071428571429,4.329670329670329,5.130434782608695,5.081081081081081,5.579754601226994,4.558198380566802
Dutch democracy,2.9722222222222223,3.8410852713178296,4.28,5.217391304347826,5.575757575757576,5.469135802469136,5.066666666666666,5.638115631691649,5.543859649122807,5.2,6.480314960629921,6.696428571428571,6.758241758241758,6.643478260869565,6.648648648648648,7,5.773785425101215
Journalism,3.3333333333333335,3.996124031007752,3.38,5,3.242424242424242,5.561728395061729,4.533333333333333,4.991434689507495,5.280701754385965,5.366666666666666,6.149606299212598,6.366071428571429,5.978021978021978,5.730434782608696,5.797297297297297,5.785276073619632,5.220647773279352
Political parties,2.611111111111111,3.2868217054263567,3.5,3.782608695652174,4.484848484848484,4.481481481481482,4.133333333333334,4.625267665952891,4.719298245614035,5,5.196850393700787,5.508928571428571,5.417582417582418,5.356521739130435,5.608108108108108,5.779141104294479,4.7591093117408905
Politicians,2.1944444444444446,3.108527131782946,3.3,3.739130434782609,4.424242424242424,4.12962962962963,4.6,4.56745182012848,4.684210526315789,4.733333333333333,5.25984251968504,5.651785714285714,5.285714285714286,5.443478260869565,5.621621621621622,5.957055214723926,4.718623481781377
Science,4.861111111111111,5.961240310077519,5.78,6.695652173913044,5.0606060606060606,7.030864197530864,6.333333333333333,6.7537473233404715,6.982456140350878,6.633333333333334,7.582677165354331,8.026785714285714,7.758241758241758,7.069565217391304,6.905405405405405,7.576687116564417,6.918016194331984
The European Union,3.0555555555555554,2.635658914728682,2.7,3.869565217391304,3.787878787878788,4.327160493827161,5.866666666666666,4.674518201284797,4.982456140350878,5.166666666666667,5.637795275590551,6.142857142857143,5.956043956043956,5.6173913043478265,5.418918918918919,5.512269938650307,4.72672064777328
The government,2.611111111111111,3.310077519379845,3.28,3.9565217391304346,5,4.265432098765432,4.733333333333333,4.937901498929336,4.754385964912281,5,5.4015748031496065,5.544642857142857,5.989010989010989,6.208695652173913,6.162162162162162,6.95398773006135,5.134615384615385
The House of Representatives,2.8333333333333335,3.507751937984496,3.64,4.173913043478261,4.909090909090909,4.8580246913580245,5.2,5.132762312633833,5.175438596491228,5.4,5.960629921259843,6.089285714285714,6.164835164835165,6.052173913043478,6.3108108108108105,6.53680981595092,5.293522267206478
The justice system,3.4166666666666665,4.1976744186046515,4.76,5,5.787878787878788,5.666666666666667,5.8,5.937901498929336,5.87719298245614,5.8,6.874015748031496,6.794642857142857,6.956043956043956,6.71304347826087,6.9324324324324325,6.803680981595092,5.975202429149798
